t,scenario,C_base,S,C_hum,K_ck,M_r,P_u,R_a,M_medio_agentes
19.700000000000003,compartilhado,0.6232682011926651,0.3333333333333333,0.7066015345259985,4.5397868702434395e-05,0.0,1.0,0.0,1.0867853950106334
19.8,compartilhado,0.6322350618450765,0.3333333333333333,0.7155683951784099,4.5397868702434395e-05,0.0,1.0,0.0,1.0903888308005518
19.900000000000002,compartilhado,0.6362763485073271,0.3333333333333333,0.7196096818406604,4.5397868702434395e-05,0.0,1.0,0.0,1.0938837622035216
20.0,compartilhado,0.6384808910324651,0.3333333333333333,0.7218142243657985,4.5397868702434395e-05,0.0,1.0,0.0,1.0972956949754846
20.1,compartilhado,0.6362661141819743,0.3333333333333333,0.7195994475153077,4.5397868702434395e-05,0.0,1.0,0.0,1.100630808291463
20.200000000000003,compartilhado,0.6343600037339114,0.3333333333333333,0.7176933370672448,4.5397868702434395e-05,0.0,1.0,0.0,1.1038700406099733
20.3,compartilhado,0.6345180066759697,0.3333333333333333,0.7178513400093031,4.5397868702434395e-05,0.0,1.0,0.0,1.1071631374289126
20.400000000000002,compartilhado,0.6284479938697936,0.3333333333333333,0.7117813272031269,4.5397868702434395e-05,0.0,1.0,0.0,1.1104856862312686
20.5,compartilhado,0.6226540192733206,0.3333333333333333,0.705987352606654,4.5397868702434395e-05,0.0,1.0,0.0,1.1138702527729156
20.6,compartilhado,0.6223543283248574,0.3333333333333333,0.7056876616581907,4.5397868702434395e-05,0.0,1.0,0.0,1.1172997747654838
20.700000000000003,compartilhado,0.6297790259754815,0.3333333333333333,0.7131123593088149,4.5397868702434395e-05,0.0,1.0,0.0,1.120833308372406
20.8,compartilhado,0.6323493889116929,0.3333333333333333,0.7156827222450263,4.5397868702434395e-05,0.0,1.0,0.0,1.124433353840873
20.900000000000002,compartilhado,0.6331418499273096,0.3333333333333333,0.716475183260643,4.5397868702434395e-05,0.0,1.0,0.0,1.1280683006276115
21.0,compartilhado,0.6412270195102068,0.3333333333333333,0.7245603528435401,4.5397868702434395e-05,0.0,1.0,0.0,1.1317942611952525
21.1,compartilhado,0.6490837436332679,0.3333333333333333,0.7324170769666013,4.5397868702434395e-05,0.0,1.0,0.0,1.1355803969857043
21.200000000000003,compartilhado,0.6490327286944474,0.3333333333333333,0.7323660620277808,4.5397868702434395e-05,0.0,1.0,0.0,1.139415336096678
21.3,compartilhado,0.6495585288810848,0.3333333333333333,0.7328918622144182,4.5397868702434395e-05,0.0,1.0,0.0,1.1432709633549676
21.400000000000002,compartilhado,0.6480600972416024,0.3333333333333333,0.7313934305749358,4.5397868702434395e-05,0.0,1.0,0.0,1.1471825569560403
21.5,compartilhado,0.647661402373727,0.3333333333333333,0.7309947357070604,4.5397868702434395e-05,0.0,1.0,0.0,1.151098450575409
21.6,compartilhado,0.647062782630535,0.3333333333333333,0.7303961159638683,4.5397868702434395e-05,0.0,1.0,0.0,1.155032719335931
21.700000000000003,compartilhado,0.6483036966136819,0.3333333333333333,0.7316370299470153,4.5397868702434395e-05,0.0,1.0,0.0,1.1589806443442239
21.8,compartilhado,0.6503768471704201,0.3333333333333333,0.7337101805037535,4.5397868702434395e-05,0.0,1.0,0.0,1.16295938273306
21.900000000000002,compartilhado,0.6458887007639723,0.3333333333333333,0.7292220340973057,4.5397868702434395e-05,0.0,1.0,0.0,1.1669373420653724
22.0,compartilhado,0.6404851789773921,0.3333333333333333,0.7238185123107255,4.5397868702434395e-05,0.0,1.0,0.0,1.170905495505731
22.1,compartilhado,0.6436600478446424,0.3333333333333333,0.7269933811779757,4.5397868702434395e-05,0.0,1.0,0.0,1.1748974561539423
22.200000000000003,compartilhado,0.6481107290731181,0.3333333333333333,0.7314440624064514,4.5397868702434395e-05,0.0,1.0,0.0,1.1789035095318132
22.3,compartilhado,0.6566772384801853,0.3333333333333333,0.7400105718135187,4.5397868702434395e-05,0.0,1.0,0.0,1.1829074138379438
22.400000000000002,compartilhado,0.6577707767452518,0.3333333333333333,0.7411041100785851,4.5397868702434395e-05,0.0,1.0,0.0,1.1869071328777534
22.5,compartilhado,0.6564846101332652,0.3333333333333333,0.7398179434665986,4.5397868702434395e-05,0.0,1.0,0.0,1.1908802077137688
22.6,compartilhado,0.6599146041139103,0.3333333333333333,0.7432479374472437,4.5397868702434395e-05,0.0,1.0,0.0,1.194862441436562
22.700000000000003,compartilhado,0.6593094262816932,0.3333333333333333,0.7426427596150266,4.5397868702434395e-05,0.0,1.0,0.0,1.198820305365301
22.8,compartilhado,0.6574053851543782,0.3333333333333333,0.7407387184877116,4.5397868702434395e-05,0.0,1.0,0.0,1.2027548384556495
22.900000000000002,compartilhado,0.6564948653794427,0.3333333333333333,0.739828198712776,4.5397868702434395e-05,0.0,1.0,0.0,1.2066414296177461
23.0,compartilhado,0.6583579383966172,0.3333333333333333,0.7416912717299505,4.5397868702434395e-05,0.0,1.0,0.0,1.2105224639909107
23.1,compartilhado,0.6596518662897013,0.3333333333333333,0.7429851996230347,4.5397868702434395e-05,0.0,1.0,0.0,1.2144024954254307
23.200000000000003,compartilhado,0.6552297791116508,0.3333333333333333,0.7385631124449842,4.5397868702434395e-05,0.0,1.0,0.0,1.2182404103265179
23.3,compartilhado,0.6467377668192007,0.3333333333333333,0.7300711001525341,4.5397868702434395e-05,0.0,1.0,0.0,1.2220472851014037
23.400000000000002,compartilhado,0.6515390553783593,0.3333333333333333,0.7348723887116927,4.5397868702434395e-05,0.0,1.0,0.0,1.2258478680231115
23.5,compartilhado,0.6535113328736922,0.3333333333333333,0.7368446662070256,4.5397868702434395e-05,0.0,1.0,0.0,1.2296060427225746
23.6,compartilhado,0.6547177439438883,0.3333333333333333,0.7380510772772216,4.5397868702434395e-05,0.0,1.0,0.0,1.2333287613961939
