trial,scenario,frac_arriscada,sucesso_coordenacao,payoff_medio,prob_media_arriscada,P_u_na_decisao,R_a_na_decisao,K_ck_na_decisao,M_medio_na_decisao
47,ratificado,1.0,True,2.0,0.7097218128692113,1.0,1.0,0.9999999999999065,1.8395697975209317
48,ratificado,1.0,True,2.0,0.8157158977624875,1.0,1.0,0.9999999999999065,1.898882254367987
49,ratificado,0.625,True,1.625,0.7637842498500325,1.0,1.0,0.9999999999999065,1.867452588632052
50,ratificado,0.875,True,1.875,0.7231624080012602,1.0,1.0,0.9999999999999065,1.84609424079021
51,ratificado,0.75,True,1.75,0.8123213698986063,1.0,1.0,0.9999999999999065,1.8966109583840693
52,ratificado,0.875,True,1.875,0.8080008959801499,1.0,1.0,0.9999999999999065,1.8938574961656636
53,ratificado,0.875,True,1.875,0.7280266033630611,1.0,1.0,0.9999999999999065,1.8485603130560444
54,ratificado,0.875,True,1.875,0.8271336726154217,1.0,1.0,0.9999999999999065,1.9067286317034688
55,ratificado,0.875,True,1.875,0.8133596308719127,1.0,1.0,0.9999999999999065,1.8973739245095043
56,ratificado,0.75,True,1.75,0.8141762592421145,1.0,1.0,0.9999999999999065,1.8978105937391536
57,ratificado,0.875,True,1.875,0.6554131270311552,1.0,1.0,0.9999999999999065,1.8143766912863835
58,ratificado,0.875,True,1.875,0.7387547036428027,1.0,1.0,0.9999999999999065,1.8540464167311752
59,ratificado,0.75,True,1.75,0.7533947040514924,1.0,1.0,0.9999999999999065,1.861731156399952
60,ratificado,0.875,True,1.875,0.8084956154912113,1.0,1.0,0.9999999999999065,1.8941084174754796
61,ratificado,0.875,True,1.875,0.8162089784906278,1.0,1.0,0.9999999999999065,1.8991566575549808
62,ratificado,0.875,True,1.875,0.8103519623264497,1.0,1.0,0.9999999999999065,1.8953191560934677
63,ratificado,0.875,True,1.875,0.7721927451097934,1.0,1.0,0.9999999999999065,1.8720876071335397
64,ratificado,0.75,True,1.75,0.7656007999822172,1.0,1.0,0.9999999999999065,1.8684723715239282
65,ratificado,0.375,False,0.625,0.7883543561794836,1.0,1.0,0.9999999999999065,1.8816089413595813
66,ratificado,0.875,True,1.875,0.8037357782619708,1.0,1.0,0.9999999999999065,1.8911045020386719
67,ratificado,0.875,True,1.875,0.7717246875872796,1.0,1.0,0.9999999999999065,1.8718388406460007
68,ratificado,0.75,True,1.75,0.7669112118197031,1.0,1.0,0.9999999999999065,1.8691308049359483
69,ratificado,0.875,True,1.875,0.8299206286282479,1.0,1.0,0.9999999999999065,1.9085794328841006
70,ratificado,0.75,True,1.75,0.7967991908815459,1.0,1.0,0.9999999999999065,1.8867503085430557
71,ratificado,0.75,True,1.75,0.725102574862999,1.0,1.0,0.9999999999999065,1.8470351031253134
72,ratificado,0.875,True,1.875,0.7667323142905879,1.0,1.0,0.9999999999999065,1.8690452859148623
73,ratificado,0.75,True,1.75,0.7036177530885342,1.0,1.0,0.9999999999999065,1.8365494246735454
74,ratificado,0.875,True,1.875,0.773424102319741,1.0,1.0,0.9999999999999065,1.8728419371132603
75,ratificado,0.75,True,1.75,0.7229657979274156,1.0,1.0,0.9999999999999065,1.8460548118099918
76,ratificado,0.625,True,1.625,0.7935298832908879,1.0,1.0,0.9999999999999065,1.8846791903872746
77,ratificado,0.875,True,1.875,0.7970619015440581,1.0,1.0,0.9999999999999065,1.8870501962673853
78,ratificado,0.625,True,1.625,0.7612317443710819,1.0,1.0,0.9999999999999065,1.8660036610359523
79,ratificado,0.5,False,0.5,0.786929839338389,1.0,1.0,0.9999999999999065,1.880737275820159
