variant,regime,run_id,C_idx_mean,Psi_eff_mean,B_mean,Q_mean,K_mean,R_mean,M_final,level_mode
full,reflex,22,0.26940357098722,0.09933027013123874,0.8138936876334176,0.3506041654001058,0.04276449322059384,0.8489861889019497,0.03782048885609915,2
full,reflex,23,0.26261520562189117,0.09671045882844051,0.7705895410055129,0.36098247686649676,0.008096078334565725,0.8226894172983288,0.03887525711826531,2
full,reflex,24,0.2828803136856985,0.10145892325180604,0.872056689924411,0.3603210805822812,0.020257038566849208,0.8141408879313171,0.0387855456415416,2
full,reflex,25,0.27331121272458775,0.1099530949523489,0.8043684911487073,0.354542767973077,0.04153730794044499,0.8259413220715403,0.03787480362611475,2
full,reflex,26,0.2714562080297277,0.09781948445357257,0.831905433767832,0.3482119145284164,0.04902503593584497,0.8298244372584138,0.0377364240697573,2
full,reflex,27,0.2671345899778773,0.10735536383519555,0.7691382416115908,0.3608823610481759,0.027025769772247164,0.7893889205885811,0.03851488795780169,2
full,reflex,28,0.29242571348810853,0.12712302180523907,0.8497759433368306,0.36980961773293275,0.027321672239769477,0.8178629753327885,0.039432648219673155,2
full,reflex,29,0.2503500243497303,0.10035950387072166,0.7087034504880654,0.3478441879843686,0.026595415433324655,0.847500521264969,0.03761392046011339,2
full,reflex,30,0.2940784222212334,0.11335593809235849,0.9057531817156094,0.35922390998628734,0.05026220642044026,0.783945180222387,0.03818269550046087,2
full,reflex,31,0.27901652726148635,0.11460707377851179,0.8101344639750022,0.3667655023545961,0.024653983975750172,0.8103066725278542,0.03910463252611304,2
full,reflex,32,0.27250722869360433,0.09377500214016449,0.8464923654430471,0.34939724717045273,0.0442686182632283,0.7784464480337098,0.03800723878302986,2
full,reflex,33,0.2785604108762874,0.09627156422327712,0.8647434552392516,0.3571401298198772,0.054665951823356145,0.8158499554235337,0.0384101631968511,2
full,reflex,34,0.26275660331952294,0.09825489675974802,0.7841224164014275,0.3468112812633716,0.037236598617020465,0.8130268482831595,0.03755146910765032,2
full,reflex,35,0.26149608411393216,0.11927288867781825,0.7079970734158022,0.36091452885967046,0.027195766712446428,0.8152634192484868,0.03859477690149487,2
full,reflex,36,0.2883596289366747,0.11390393415855143,0.8590794802885925,0.37076673008846267,0.028698197949656893,0.8300224905618704,0.039260422317339755,2
full,reflex,37,0.2751749187437776,0.10863562526070036,0.8167881186677446,0.3556032456287937,0.030884977342398822,0.8091244124647915,0.03797335018589677,2
full,reflex,38,0.2749376754243648,0.0892228428748898,0.8632042852632487,0.3563830110720279,0.038084858333178824,0.8227748197642927,0.03873005710691999,2
full,reflex,39,0.2577613876665409,0.10765459290356115,0.7251748844528751,0.35333920438287125,0.01697971797187369,0.7985346855125515,0.03786661443243241,2
